Geo_Point;Geo_Shape;nom;street;No
43.594306254, 1.44882209496;{"type": "Point", "coordinates": [1.448822094957896, 43.59430625400039]};MUSEUM;ALL JULES GUESDE;35
43.6027020651, 1.45444839893;{"type": "Point", "coordinates": [1.454448398925486, 43.60270206509418]};ST AUBIN  - CAMICHEL;RUE CHARLES CAMICHEL;1
43.6106821228, 1.4436208413;{"type": "Point", "coordinates": [1.443620841297196, 43.61068212276859]};CONCORDE -  ARCOLE;RUE DE LA CONCORDE;4
43.6145965267, 1.44353763512;{"type": "Point", "coordinates": [1.4435376351212, 43.61459652667697]};PRINTEMPS - INGRES;RUE DU PRINTEMPS;57
43.6134589692, 1.43024323237;{"type": "Point", "coordinates": [1.430243232371765, 43.613458969203634]};EMBOUCHURE -  HAEDENS;BD DE L EMBOUCHURE;57
43.6099785963, 1.4196129267;{"type": "Point", "coordinates": [1.419612926698242, 43.60997859625793]};CHAPOU;ALL DE BRIENNE;129
43.6084261192, 1.42386267118;{"type": "Point", "coordinates": [1.423862671181388, 43.60842611920062]};BRIENNE  -  PASSERELLE;ALL DE BRIENNE;99
43.5926435707, 1.43391008374;{"type": "Point", "coordinates": [1.43391008374255, 43.59264357069798]};PLACE DU FER A CHEVAL;PL DU FER A CHEVAL;5
43.5854539103, 1.4283605566;{"type": "Point", "coordinates": [1.428360556600613, 43.58545391027452]};CROIX DE PIERRE - DEODAT DE SEVERAC;BD DEODAT DE SEVERAC;2
43.6190127432, 1.45680421485;{"type": "Point", "coordinates": [1.456804214846672, 43.6190127432319]};EGLISE BONNEFOY;ALL DE L EGLISE BONNEFOY;8
43.593531204, 1.4530424939;{"type": "Point", "coordinates": [1.453042493901773, 43.5935312039993]};MISTRAL -  FLEURANCE;ALL FREDERIC MISTRAL;18
43.6009101182, 1.45072441426;{"type": "Point", "coordinates": [1.450724414255123, 43.60091011822928]};METZ  - REMPART ST ETIENNE;RUE DU REMPART ST ETIENNE;5
43.5955021269, 1.41843992755;{"type": "Point", "coordinates": [1.418439927550584, 43.5955021268761]};BARRIERE DE LOMBEZ;AV DE LOMBEZ;39
43.5878725608, 1.42458263002;{"type": "Point", "coordinates": [1.424582630015671, 43.58787256081316]};DEODAT DE SEVERAC;BD DEODAT DE SEVERAC;52
43.592964434, 1.44530594719;{"type": "Point", "coordinates": [1.445305947191189, 43.59296443395939]};GUESDE TRENTE SIX  PONTS;ALL JULES GUESDE;3
43.6059615375, 1.48174849522;{"type": "Point", "coordinates": [1.481748495217635, 43.60596153750452]};CHAUBET;AV JEAN CHAUBET;158
43.584293243, 1.42755810866;{"type": "Point", "coordinates": [1.427558108655031, 43.58429324304835]};MURET LAFAGE;AV DE MURET;121
43.5816739013, 1.47585362475;{"type": "Point", "coordinates": [1.475853624745652, 43.5816739013387]};SAINT EXUPERIY ECOLE COURREGE;AV ANTOINE DE ST EXUPERY;165
43.5858785218, 1.475006686;{"type": "Point", "coordinates": [1.475006685997372, 43.58587852179781]};COTTAGES RIEUX;AV DES COTTAGES;58
43.5868580251, 1.46318435935;{"type": "Point", "coordinates": [1.463184359345778, 43.586858025098415]};PL ROGER ARNAUD;PL ROGER ARNAUD;1
43.5833549065, 1.48194817912;{"type": "Point", "coordinates": [1.481948179118739, 43.583354906511474]};CHRIST ROI;RUE DE L AUDE;25
43.6008400856, 1.47355743952;{"type": "Point", "coordinates": [1.473557439522019, 43.60084008562664]};CASTRES ACHIARY;AV DE CASTRES;48
43.6297737136, 1.46654721089;{"type": "Point", "coordinates": [1.466547210887484, 43.6297737136156]};AMOUROUX SAINT TROPEZ;CHE AMOUROUX;42
43.5665194693, 1.45866363268;{"type": "Point", "coordinates": [1.458663632679737, 43.56651946927868]};NARBONNE SAHUQUE;RTE DE NARBONNE;105
43.5692062094, 1.45634916182;{"type": "Point", "coordinates": [1.45634916182147, 43.56920620937197]};NARBONNE MIROUSE;RTE DE NARBONNE;64
43.6326930124, 1.46315260711;{"type": "Point", "coordinates": [1.463152607112551, 43.63269301244163]};ALBI AVRANCHES;RTE D ALBI;78
43.6334896217, 1.43545887842;{"type": "Point", "coordinates": [1.435458878415498, 43.633489621653396]};METRO LA VACHE;RUE PAUL VERLAINE;8
43.5973131473, 1.40375645141;{"type": "Point", "coordinates": [1.403756451409072, 43.59731314731094]};TOEC ABBE LEMIRE;RUE DE L ABBE JULES LEMIRE;1
43.5793370009, 1.47308252565;{"type": "Point", "coordinates": [1.473082525654605, 43.579337000868954]};BUTTE HERBETTES;CHE DE LA BUTTE;50
43.6170088756, 1.40838826425;{"type": "Point", "coordinates": [1.408388264250025, 43.617008875586805]};JOB BLAGNAC;RTE DE BLAGNAC;112
43.6357875451, 1.44383583378;{"type": "Point", "coordinates": [1.44383583377536, 43.63578754512965]};RENAN VITRY;RUE ERNEST RENAN;93
43.6363599023, 1.43899830066;{"type": "Point", "coordinates": [1.438998300664665, 43.63635990231467]};LAUNAGUET AUDIBERT;RTE DE LAUNAGUET;112
43.5751086217, 1.4242382688;{"type": "Point", "coordinates": [1.424238268800916, 43.575108621734636]};ESPAGNE CHARPENTIER;RTE D ESPAGNE;57
43.5964357531, 1.48397542236;{"type": "Point", "coordinates": [1.483975422361297, 43.596435753141]};ROTONDE;AV DE CASTRES;
43.576930476, 1.44007581966;{"type": "Point", "coordinates": [1.440075819655087, 43.57693047598502]};SELLIER;ALL HENRI SELLIER;
43.5844422796, 1.3987146019;{"type": "Point", "coordinates": [1.398714601902059, 43.584442279611864]};PLACE JEAN BAYLET;AV JEAN BAYLET;
43.5854418001, 1.37726572031;{"type": "Point", "coordinates": [1.377265720307529, 43.58544180009329]};ZAMENHOF;ALL DU DR LEJZER L ZAMENHOF;
43.6085042631, 1.39719406406;{"type": "Point", "coordinates": [1.397194064057617, 43.60850426307545]};BAYLAC;AV DES ARENES ROMAINES;
43.6013069747, 1.45208030448;{"type": "Point", "coordinates": [1.452080304476543, 43.60130697471183]};MONUMENT AUX COMBATTANTS;BD LAZARE CARNOT;6
43.5990450941, 1.44039892006;{"type": "Point", "coordinates": [1.440398920057608, 43.59904509410674]};QUAI DE TOUNIS;QU DE TOUNIS;122B
43.5964570828, 1.45092834305;{"type": "Point", "coordinates": [1.450928343047422, 43.596457082787545]};JARDIN ROYAL;RUE DU HUIT MAI 1945;0
43.6054133518, 1.43241741661;{"type": "Point", "coordinates": [1.432417416612675, 43.6054133517932]};BRIENNE -  MANUFACTURE;ALL DE BRIENNE;19T
43.605078253, 1.43731413301;{"type": "Point", "coordinates": [1.437314133009276, 43.605078252950946]};VALADE;RUE VALADE;31
43.6086098111, 1.44360465962;{"type": "Point", "coordinates": [1.44360465961975, 43.608609811148234]};BERALDI;RUE HENRI BERALDI;11
43.6073900316, 1.43946241727;{"type": "Point", "coordinates": [1.439462417270893, 43.607390031617534]};SALENQUES;RUE DES SALENQUES;7
43.60104748, 1.43413355696;{"type": "Point", "coordinates": [1.434133556962295, 43.601047479959306]};PLACE LANGE;PL LANGE;1
43.607436201, 1.44465392586;{"type": "Point", "coordinates": [1.444653925856657, 43.60743620096081]};PERIGORD;RUE DE PERIGORD;26
43.6110568679, 1.43666783605;{"type": "Point", "coordinates": [1.436667836046304, 43.61105686790535]};ESP COMPANS CAFFARELLI;ESP COMPANS CAFFARELLI;1
43.613876865, 1.45148809226;{"type": "Point", "coordinates": [1.45148809225847, 43.613876865020266]};SEMARD -  GARE ROUTIERE;BD PIERRE SEMARD;73
43.6098356983, 1.45528002555;{"type": "Point", "coordinates": [1.455280025548708, 43.609835698331416]};MEDIATHEQUE;ALL JACQUES CHABAN DELMAS;1
43.6062040241, 1.45491047374;{"type": "Point", "coordinates": [1.454910473736162, 43.60620402414023]};PERI -  MERCADIER;RUE GABRIEL PERI;30
43.6041843287, 1.44540497478;{"type": "Point", "coordinates": [1.445404974778521, 43.60418432874575]};POIDS DE L'HUILE;RUE DU POIDS DE L HUILE;12
43.5975150929, 1.42871240964;{"type": "Point", "coordinates": [1.428712409642751, 43.59751509289101]};BILLIERES  -  CHAMPETRE;AV ETIENNE BILLIERES;12
43.6126252093, 1.43825513213;{"type": "Point", "coordinates": [1.438255132127178, 43.61262520927727]};SERRES -  ARNAUD BERNARD;AV HONORE SERRES;33
43.5881822541, 1.44644310151;{"type": "Point", "coordinates": [1.446443101507884, 43.58818225405043]};ST MICHEL -  NOTRE DAME;GRANDE-RUE SAINT MICHEL;50
43.5886263725, 1.45065274572;{"type": "Point", "coordinates": [1.450652745717901, 43.588626372491916]};PLACE DU BUSCA;PL DU BUSCA;2
43.5897092409, 1.45595100743;{"type": "Point", "coordinates": [1.455951007426744, 43.589709240949524]};DEMOISELLES - BEGUE;RUE BEGUE DAVID;1
43.5935151103, 1.42999124571;{"type": "Point", "coordinates": [1.429991245708002, 43.59351511032752]};SAINTE LUCIE;RUE SAINTE LUCIE;38
43.5873472491, 1.41790377357;{"type": "Point", "coordinates": [1.417903773571825, 43.58734724910386]};METRO FONTAINE LESTANG;RUE HENRI DESBALS;239
43.6138959451, 1.42501290897;{"type": "Point", "coordinates": [1.425012908972602, 43.613895945061365]};GOUNOD GARROS;RUE CHARLES GOUNOD;27
43.6165650723, 1.4441064803;{"type": "Point", "coordinates": [1.444106480297866, 43.616565072349076]};COLLIGNON;AV FRANCOIS COLLIGNON;0000
43.578605701, 1.45026091781;{"type": "Point", "coordinates": [1.450260917807729, 43.578605700967266]};JULES JULIEN DEVIC;AV JULES JULIEN;96
43.5802832567, 1.4548627845;{"type": "Point", "coordinates": [1.454862784503226, 43.58028325669615]};ITALIE;AV D ITALIE;49
43.6231013627, 1.4587217286;{"type": "Point", "coordinates": [1.458721728603836, 43.623101362692644]};BONNEFOY LEMAITRE;RUE DU FAUBOURG BONNEFOY;183
43.6398670499, 1.45228507176;{"type": "Point", "coordinates": [1.452285071755725, 43.63986704989843]};METRO BOURGES MAUNOURY;AV MAURICE BOURGES MAUNOURY;00
43.6332180523, 1.45073775462;{"type": "Point", "coordinates": [1.450737754621806, 43.63321805232238]};BOURGES MAUNOURY SEGLA;AV MAURICE BOURGES MAUNOURY;25
43.6241068134, 1.45467901612;{"type": "Point", "coordinates": [1.454679016117745, 43.624106813350316]};LAPUJADE FLANDRES;CHE DE LAPUJADE;98
43.5979952378, 1.42016702487;{"type": "Point", "coordinates": [1.420167024865603, 43.597995237767186]};BARRIERE DE BAYONNE;BRE DE BAYONNE;2
43.5792466903, 1.41089487523;{"type": "Point", "coordinates": [1.410894875225018, 43.579246690338906]};DESBALS BACHAGA BOUALAM;IMP DU BACHAGA BOUALAM;1
43.5797488883, 1.48083180351;{"type": "Point", "coordinates": [1.480831803508152, 43.57974888829363]};POTEZ SAINT EXUPERY;AV ANTOINE DE ST EXUPERY;256
43.5835433232, 1.47006075485;{"type": "Point", "coordinates": [1.470060754846353, 43.583543323205994]};PETIT PRINCE SAINT EXUPERY;AV DU PETIT PRINCE;2
43.5860888192, 1.48294081415;{"type": "Point", "coordinates": [1.482940814150452, 43.58608881921667]};FIRMIS;CHE DE LA TERRASSE;42
43.6007100776, 1.46731232251;{"type": "Point", "coordinates": [1.467312322507971, 43.60071007760379]};PUJOL CHAUBET;AV CAMILLE PUJOL;129
43.5607377847, 1.46303076986;{"type": "Point", "coordinates": [1.463030769857762, 43.56073778472174]};METRO UPS;RTE DE NARBONNE;118
43.5741765862, 1.46240924557;{"type": "Point", "coordinates": [1.462409245571472, 43.57417658621018]};METRO RANGUEIL;RUE EMILE GUYOU;00
43.6355844115, 1.46426701173;{"type": "Point", "coordinates": [1.464267011733671, 43.63558441150925]};CROIX DAURADE BIBLIOTHEQUE;CHE DE NICOL;164
43.6337548603, 1.43754039953;{"type": "Point", "coordinates": [1.43754039952603, 43.633754860257014]};RAIMBAUD COLETTE;RUE ARTHUR RIMBAUD;4
43.5664782977, 1.4752688693;{"type": "Point", "coordinates": [1.475268869303664, 43.56647829767924]};BELIN SUP AERO;AV EDOUARD BELIN;10
43.5702108174, 1.47340687835;{"type": "Point", "coordinates": [1.473406878346228, 43.57021081744567]};BELIN ONERA;AV EDOUARD BELIN;4
43.5960291075, 1.41021964502;{"type": "Point", "coordinates": [1.410219645018862, 43.59602910752573]};ELLA MAILLART - ROQUEMAUREL;RUE ELLA MAILLART;8
43.6449599546, 1.4337959573;{"type": "Point", "coordinates": [1.433795957304997, 43.64495995459231]};DUCLOS;RUE LEONCE DUCLOS;
43.6007058528, 1.48358375361;{"type": "Point", "coordinates": [1.483583753609405, 43.60070585275289]};CHÂTEAU DE L'HERS;CHE DU CHATEAU DE L HERS;
43.5739907257, 1.41948032091;{"type": "Point", "coordinates": [1.419480320911957, 43.57399072565035]};GALLIENI;RTE DE SEYSSES;
43.5736943993, 1.41398810198;{"type": "Point", "coordinates": [1.413988101976133, 43.57369439932622]};TOURAINE;RUE DE LA TOURAINE;
43.6065621497, 1.41414761263;{"type": "Point", "coordinates": [1.414147612626487, 43.60656214972313]};WAGNER;BD RICHARD WAGNER;
43.601868123, 1.440327774;{"type": "Point", "coordinates": [1.440327773995018, 43.60186812301119]};PLACE DE LA DAURADE;PL DE LA DAURADE;2
43.6001760982, 1.45479063784;{"type": "Point", "coordinates": [1.454790637835037, 43.600176098244276]};PLACE DUPUY;PL DOMINIQUE MARTIN DUPUY;14
43.6040791182, 1.45015368757;{"type": "Point", "coordinates": [1.450153687570846, 43.604079118183876]};CARNOT - LABEDA;BD LAZARE CARNOT;63
43.5968525411, 1.45265398793;{"type": "Point", "coordinates": [1.452653987927738, 43.596852541119475]};VERDIER - GRAND ROND;ALL FORAIN FRANCOIS VERDIER;2
43.5926608264, 1.44314720709;{"type": "Point", "coordinates": [1.443147207094419, 43.59266082640911]};FEUGA;ALL PAUL FEUGA;11
43.6092360377, 1.43201717289;{"type": "Point", "coordinates": [1.43201717288516, 43.60923603771844]};LASCROSSES -  LECLERC;BD LASCROSSES;47
43.605654716, 1.42824720785;{"type": "Point", "coordinates": [1.428247207846002, 43.60565471597661]};SEJOURNE  -  AMIDONNIERS;AV PAUL SEJOURNE;2
43.6068755457, 1.43072063283;{"type": "Point", "coordinates": [1.430720632828122, 43.606875545667826]};LECLERC -  BARCELONE;BD DU MARECHAL LECLERC;2
43.6085736107, 1.43476567042;{"type": "Point", "coordinates": [1.434765670415266, 43.60857361067331]};DUPORTAL -  CITE ADMINISTRATIVE;BD ARMAND DUPORTAL;41
43.6062917135, 1.44822915254;{"type": "Point", "coordinates": [1.448229152543219, 43.60629171348045]};STRASBOURG - JAURES;BD DE STRASBOURG;4
43.6115693219, 1.43966733129;{"type": "Point", "coordinates": [1.439667331287611, 43.61156932186512]};ARCOLE -  BALANCE;BD D ARCOLE;48
43.6064117784, 1.4477401399;{"type": "Point", "coordinates": [1.447740139903808, 43.60641177843155]};STRASBOURG  - SARDANE;BD DE STRASBOURG;7
43.5906437946, 1.45332605356;{"type": "Point", "coordinates": [1.453326053558883, 43.59064379455836]};DEMOISELLES - MISTRAL;ALL DES DEMOISELLES;8
43.6090407826, 1.44109967115;{"type": "Point", "coordinates": [1.441099671153314, 43.60904078255629]};SAINT SERNIN -  GATIEN ARNOULT;RUE GATIEN ARNOULT;2
43.6051683858, 1.44939724813;{"type": "Point", "coordinates": [1.449397248134244, 43.60516838575626]};CARNOT  - PERI;BD LAZARE CARNOT;62
43.597417561, 1.44527793081;{"type": "Point", "coordinates": [1.445277930811578, 43.597417560995424]};PLACE DES CARMES;PL DES CARMES;37
43.5952289038, 1.44538657568;{"type": "Point", "coordinates": [1.445386575675429, 43.59522890381574]};NAZARETH -  LANGUEDOC;RUE DU LANGUEDOC;12
43.5963147592, 1.43214373954;{"type": "Point", "coordinates": [1.43214373954457, 43.59631475916914]};FITTE - TEINTURIERS;ALL CHARLES DE FITTE;40
43.5996760522, 1.42937135576;{"type": "Point", "coordinates": [1.429371355762313, 43.59967605222173]};FITTE - VARSI;ALL CHARLES DE FITTE;89B
43.6045672253, 1.45371722347;{"type": "Point", "coordinates": [1.453717223468109, 43.60456722531138]};COLOMBETTE;RUE DE LA COLOMBETTE;41
43.6096633889, 1.44695335979;{"type": "Point", "coordinates": [1.446953359788837, 43.60966338894312]};PLACE JEANNE D'ARC;RUE RAYMOND IV;1
43.6134349949, 1.4464126268;{"type": "Point", "coordinates": [1.446412626795891, 43.61343499494999]};CONCORDE -  PRINTEMPS;RUE DE LA CONCORDE;61
43.6131507875, 1.44133703617;{"type": "Point", "coordinates": [1.441337036173361, 43.613150787524766]};CHALETS;RUE DES CHALETS;31
43.6103128937, 1.42043916058;{"type": "Point", "coordinates": [1.420439160583489, 43.61031289373878]};BARCELONE - PONT JUMEAUX;ALL DE BARCELONE;152
43.5857568059, 1.44743391705;{"type": "Point", "coordinates": [1.447433917047822, 43.58575680588423]};MAISON D'ARRET ST MICHEL;GRANDE-RUE SAINT MICHEL;18B
43.6207081615, 1.43561908265;{"type": "Point", "coordinates": [1.435619082652628, 43.62070816147821]};MINIMES - MARCHE AU COCHONS;AV DES MINIMES;71
43.6122930907, 1.42883016992;{"type": "Point", "coordinates": [1.428830169917536, 43.612293090696156]};SEBASTOPOL -  RITAY;RUE DE SEBASTOPOL;9
43.6027229937, 1.44203223441;{"type": "Point", "coordinates": [1.442032234407058, 43.60272299374425]};SAINTE URSULE;RUE SAINTE URSULE;19
43.6010480572, 1.4203478302;{"type": "Point", "coordinates": [1.420347830199796, 43.60104805722361]};BRUNHES FONTAINES;BD JEAN BRUNHES;45
43.5917190995, 1.41863010579;{"type": "Point", "coordinates": [1.418630105793508, 43.59171909950858]};EMILE MALE;PL EMILE MALE;4
43.5816721747, 1.4136357547;{"type": "Point", "coordinates": [1.413635754695333, 43.58167217467735]};DESBALS SAINTONGE;RUE HENRI DESBALS;145
43.6159726368, 1.42161129479;{"type": "Point", "coordinates": [1.421611294792214, 43.61597263676532]};SUISSE LAUSANNE;BD DE SUISSE;62
43.5899290277, 1.44176111028;{"type": "Point", "coordinates": [1.441761110275804, 43.589929027698595]};HOTEL DE REGION;RUE DES GALLOIS;4
43.5837632998, 1.44334213459;{"type": "Point", "coordinates": [1.443342134591299, 43.583763299798996]};RECOLLETS;BD DES RECOLLETS;34
43.5732974515, 1.45248014105;{"type": "Point", "coordinates": [1.452480141048672, 43.57329745147784]};THEATRE JULES JULIEN;AV DES ECOLES JULES JULIEN;21
43.6174462077, 1.46548404807;{"type": "Point", "coordinates": [1.465484048070374, 43.61744620767925]};BAILLAUD BRUNAUD;RUE BENJAMIN BAILLAUD;64
43.6272417142, 1.46929476649;{"type": "Point", "coordinates": [1.469294766486273, 43.62724171416937]};MICHOUN LIPPMAN;CHE MICHOUN;70
43.5948884851, 1.41508282242;{"type": "Point", "coordinates": [1.415082822422465, 43.59488848506208]};LOMBEZ PETITE VITESSE;AV DE LOMBEZ;59
43.5973230436, 1.45896112631;{"type": "Point", "coordinates": [1.458961126308663, 43.5973230436196]};LAROUSSE RIEUX;AV JEAN RIEUX;4
43.5790375966, 1.48362912378;{"type": "Point", "coordinates": [1.483629123780259, 43.579037596631146]};PLACE DE L ORMEAU;AV JEAN RIEUX;345
43.5940543455, 1.46509048333;{"type": "Point", "coordinates": [1.465090483334295, 43.594054345478035]};LEYGUE RIEUX;AV ARMAND LEYGUE;20
43.5834787323, 1.48776554499;{"type": "Point", "coordinates": [1.487765544990906, 43.58347873226023]};LE DORMEUR LA TERRASSE;RUE LE DORMEUR;9
43.5962276702, 1.47345400582;{"type": "Point", "coordinates": [1.473454005820446, 43.59622767021038]};LAFILAIRE DELTOUR;CHE DE LAFILAIRE;25
43.5714904569, 1.46269876706;{"type": "Point", "coordinates": [1.462698767055692, 43.57149045693434]};IUT RANGUEIL;AV DE RANGUEIL;129
43.6327222473, 1.43174888303;{"type": "Point", "coordinates": [1.431748883026052, 43.63272224733928]};ETATS UNIS FERRY;AV DES ETATS UNIS;96
43.6256234436, 1.43967698797;{"type": "Point", "coordinates": [1.439676987970639, 43.62562344360243]};CURIE CAMPISTRON;BD PIERRE ET MARIE CURIE;88
43.596403203, 1.45660377248;{"type": "Point", "coordinates": [1.45660377248074, 43.5964032030102]};PORT SAINT SAUVEUR;PORT SAINT SAUVEUR;22
43.56498489, 1.47817624528;{"type": "Point", "coordinates": [1.478176245283141, 43.564984890032704]};BELIN E.N.A.C.;AV DU COLONEL ROCHE;4
43.5572334845, 1.46526500951;{"type": "Point", "coordinates": [1.465265009512586, 43.55723348445284]};NARBONNE IUFM;RTE DE NARBONNE;217
43.5930535519, 1.41455354456;{"type": "Point", "coordinates": [1.41455354456212, 43.593053551949865]};11 NOVEMBRE 1918;RUE DU ONZE NOVEMBRE 1918;00
43.6183476315, 1.43671552908;{"type": "Point", "coordinates": [1.436715529078408, 43.61834763147809]};MINIMES - SAINTE FAMILLE;AV DES MINIMES;22
43.6425484124, 1.45623608611;{"type": "Point", "coordinates": [1.456236086113464, 43.6425484124095]};BORDEROUGE;CHE DE BORDEROUGE;
43.6354376042, 1.47283321498;{"type": "Point", "coordinates": [1.472833214981831, 43.63543760423117]};VASSEUR;RUE ANDRE VASSEUR;
43.5680280611, 1.4133482223;{"type": "Point", "coordinates": [1.41334822229747, 43.568028061105046]};BORDELONGUE;PAS DU CANAL DE BORDELONGUE;
43.5898907213, 1.37784158963;{"type": "Point", "coordinates": [1.377841589633064, 43.58989072132924]};PLACE SAUVEGRAIN;PL JACQUES SAUVEGRAIN;
43.6136241579, 1.40137704449;{"type": "Point", "coordinates": [1.401377044489208, 43.61362415786559]};ESPAGNO;AV DE CASSELARDIT;
